,Location,Parameter,Unit,Frequency,Date,Value
32,2 - 33RD & WHITFIELD,TSS,MG/L,1 / 3 MO.,1997-02-28,1.0
33,2 - 33RD & WHITFIELD,Oil,MG/L,1 / 3 MO.,1997-02-28,4.52
34,2 - 33RD & WHITFIELD,N,MG/L,1 / 3 MO.,1997-02-28,1.12
35,2 - 33RD & WHITFIELD,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,0.88
36,2 - 33RD & WHITFIELD,P,MG/L,1 / 3 MO.,1997-02-28,0.1
37,2 - 33RD & WHITFIELD,CaCO3,MG/L,1 / 3 MO.,1997-02-28,44.0
38,2 - 33RD & WHITFIELD,Ag,UG/L,1 / 3 MO.,1997-02-28,1.0
39,2 - 33RD & WHITFIELD,Zn,UG/L,1 / 3 MO.,1997-02-28,23.0
40,2 - 33RD & WHITFIELD,Cd,UG/L,1 / 3 MO.,1997-02-28,0.5
41,2 - 33RD & WHITFIELD,Pb,UG/L,1 / 3 MO.,1997-02-28,1.06
42,2 - 33RD & WHITFIELD,Cu,UG/L,1 / 3 MO.,1997-02-28,2.79
43,2 - 33RD & WHITFIELD,Flow,MGD,1 / 3 MO.,1997-02-28,0.011000000000000001
44,2 - 33RD & WHITFIELD,TDS,MG/L,1 / 3 MO.,1997-02-28,96.0
45,2 - 33RD & WHITFIELD,Streptococci,#/100ML,1 / 3 MO.,1997-02-28,324.0
46,2 - 33RD & WHITFIELD,E.Coli,#/100ML,1 / 3 MO.,1997-02-28,437.0
47,2 - 33RD & WHITFIELD,"BOD, C",MG/L,1 / 3 MO.,1997-02-28,3.0
48,3 - CHENAL PKWY & OAK MEADOW,Se,UG/L,1 / 3 MO.,1997-02-28,5.0
49,3 - CHENAL PKWY & OAK MEADOW,Be,UG/L,1 / 3 MO.,1997-02-28,0.5
50,3 - CHENAL PKWY & OAK MEADOW,Ni,UG/L,1 / 3 MO.,1997-02-28,4.2
51,3 - CHENAL PKWY & OAK MEADOW,Cr,UG/L,1 / 3 MO.,1997-02-28,5.0
52,3 - CHENAL PKWY & OAK MEADOW,Hg,UG/L,1 / 3 MO.,1997-02-28,0.2
53,3 - CHENAL PKWY & OAK MEADOW,Cyanide,UG/L,1 / 3 MO.,1997-02-28,10.0
54,3 - CHENAL PKWY & OAK MEADOW,BOD,MG/L,1 / 3 MO.,1997-02-28,3.0
55,3 - CHENAL PKWY & OAK MEADOW,pH,SU,1 / 3 MO.,1997-02-28,6.33
56,3 - CHENAL PKWY & OAK MEADOW,TSS,MG/L,1 / 3 MO.,1997-02-28,7.0
57,3 - CHENAL PKWY & OAK MEADOW,Oil,MG/L,1 / 3 MO.,1997-02-28,4.79
58,3 - CHENAL PKWY & OAK MEADOW,N,MG/L,1 / 3 MO.,1997-02-28,1.12
59,3 - CHENAL PKWY & OAK MEADOW,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,1.02
60,3 - CHENAL PKWY & OAK MEADOW,P,MG/L,1 / 3 MO.,1997-02-28,0.09
61,3 - CHENAL PKWY & OAK MEADOW,CaCO3,MG/L,1 / 3 MO.,1997-02-28,38.0
62,3 - CHENAL PKWY & OAK MEADOW,Ag,UG/L,1 / 3 MO.,1997-02-28,1.0
63,3 - CHENAL PKWY & OAK MEADOW,Zn,UG/L,1 / 3 MO.,1997-02-28,21.0
64,3 - CHENAL PKWY & OAK MEADOW,Cd,UG/L,1 / 3 MO.,1997-02-28,0.5
65,3 - CHENAL PKWY & OAK MEADOW,Pb,UG/L,1 / 3 MO.,1997-02-28,1.0
66,3 - CHENAL PKWY & OAK MEADOW,Cu,UG/L,1 / 3 MO.,1997-02-28,1.55
67,3 - CHENAL PKWY & OAK MEADOW,Flow,MGD,1 / 3 MO.,1997-02-28,0.017
68,3 - CHENAL PKWY & OAK MEADOW,TDS,MG/L,1 / 3 MO.,1997-02-28,100.0
69,3 - CHENAL PKWY & OAK MEADOW,Streptococci,#/100ML,1 / 3 MO.,1997-02-28,83.0
70,3 - CHENAL PKWY & OAK MEADOW,E.Coli,#/100ML,1 / 3 MO.,1997-02-28,7.0
71,3 - CHENAL PKWY & OAK MEADOW,"BOD, C",MG/L,1 / 3 MO.,1997-02-28,3.0
72,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Se,UG/L,1 / 3 MO.,1997-02-28,5.0
73,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Be,UG/L,1 / 3 MO.,1997-02-28,0.5
74,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Ni,UG/L,1 / 3 MO.,1997-02-28,3.8
75,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cr,UG/L,1 / 3 MO.,1997-02-28,5.0
76,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Hg,UG/L,1 / 3 MO.,1997-02-28,0.2
77,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cyanide,UG/L,1 / 3 MO.,1997-02-28,10.0
78,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),BOD,MG/L,1 / 3 MO.,1997-02-28,3.0
79,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),pH,SU,1 / 3 MO.,1997-02-28,6.3
80,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),TSS,MG/L,1 / 3 MO.,1997-02-28,1.0
81,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Oil,MG/L,1 / 3 MO.,1997-02-28,5.81
82,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),N,MG/L,1 / 3 MO.,1997-02-28,0.56
83,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,0.39
84,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),P,MG/L,1 / 3 MO.,1997-02-28,0.14
85,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),CaCO3,MG/L,1 / 3 MO.,1997-02-28,28.0
86,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Ag,UG/L,1 / 3 MO.,1997-02-28,6.8
87,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Zn,UG/L,1 / 3 MO.,1997-02-28,31.0
88,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cd,UG/L,1 / 3 MO.,1997-02-28,0.5
89,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Pb,UG/L,1 / 3 MO.,1997-02-28,1.48
90,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cu,UG/L,1 / 3 MO.,1997-02-28,2.65
91,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Flow,MGD,1 / 3 MO.,1997-02-28,0.14400000000000002
92,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),TDS,MG/L,1 / 3 MO.,1997-02-28,92.0
93,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Streptococci,#/100ML,1 / 3 MO.,1997-02-28,44.0
94,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),E.Coli,#/100ML,1 / 3 MO.,1997-02-28,416.0
95,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),"BOD, C",MG/L,1 / 3 MO.,1997-02-28,2.0
96,5 - 14TH & BOND,Se,UG/L,1 / 3 MO.,1997-02-28,5.0
97,5 - 14TH & BOND,Be,UG/L,1 / 3 MO.,1997-02-28,0.52
98,5 - 14TH & BOND,Ni,UG/L,1 / 3 MO.,1997-02-28,18.0
99,5 - 14TH & BOND,Cr,UG/L,1 / 3 MO.,1997-02-28,14.28
100,5 - 14TH & BOND,Hg,UG/L,1 / 3 MO.,1997-02-28,0.2
101,5 - 14TH & BOND,Cyanide,UG/L,1 / 3 MO.,1997-02-28,10.0
102,5 - 14TH & BOND,BOD,MG/L,1 / 3 MO.,1997-02-28,43.0
103,5 - 14TH & BOND,pH,SU,1 / 3 MO.,1997-02-28,7.17
104,5 - 14TH & BOND,TSS,MG/L,1 / 3 MO.,1997-02-28,124.0
105,5 - 14TH & BOND,Oil,MG/L,1 / 3 MO.,1997-02-28,1.41
106,5 - 14TH & BOND,N,MG/L,1 / 3 MO.,1997-02-28,4.08
107,5 - 14TH & BOND,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,3.92
108,5 - 14TH & BOND,P,MG/L,1 / 3 MO.,1997-02-28,0.63
109,5 - 14TH & BOND,CaCO3,MG/L,1 / 3 MO.,1997-02-28,58.0
110,5 - 14TH & BOND,Ag,UG/L,1 / 3 MO.,1997-02-28,1.0
111,5 - 14TH & BOND,Zn,UG/L,1 / 3 MO.,1997-02-28,138.0
112,5 - 14TH & BOND,Cd,UG/L,1 / 3 MO.,1997-02-28,0.5
113,5 - 14TH & BOND,Pb,UG/L,1 / 3 MO.,1997-02-28,19.8
114,5 - 14TH & BOND,Cu,UG/L,1 / 3 MO.,1997-02-28,12.6
115,5 - 14TH & BOND,Flow,MGD,1 / 3 MO.,1997-02-28,0.017
116,5 - 14TH & BOND,TDS,MG/L,1 / 3 MO.,1997-02-28,113.0
117,5 - 14TH & BOND,Streptococci,#/100ML,1 / 3 MO.,1997-02-28,69.0
118,5 - 14TH & BOND,E.Coli,#/100ML,1 / 3 MO.,1997-02-28,1.0
119,5 - 14TH & BOND,"BOD, C",MG/L,1 / 3 MO.,1997-02-28,17.0
120,1 - UNIVERSITY & I-630,Se,UG/L,1 / 3 MO.,1997-05-31,5.0
121,1 - UNIVERSITY & I-630,Be,UG/L,1 / 3 MO.,1997-05-31,0.5
122,1 - UNIVERSITY & I-630,Ni,UG/L,1 / 3 MO.,1997-05-31,8.2
123,1 - UNIVERSITY & I-630,Cr,UG/L,1 / 3 MO.,1997-05-31,7.95
124,1 - UNIVERSITY & I-630,Hg,UG/L,1 / 3 MO.,1997-05-31,0.3
125,1 - UNIVERSITY & I-630,Cyanide,UG/L,1 / 3 MO.,1997-05-31,10.0
126,1 - UNIVERSITY & I-630,BOD,MG/L,1 / 3 MO.,1997-05-31,26.0
127,1 - UNIVERSITY & I-630,pH,SU,1 / 3 MO.,1997-05-31,7.55
128,1 - UNIVERSITY & I-630,TSS,MG/L,1 / 3 MO.,1997-05-31,48.0
129,1 - UNIVERSITY & I-630,Oil,MG/L,1 / 3 MO.,1997-05-31,5.11
130,1 - UNIVERSITY & I-630,N,MG/L,1 / 3 MO.,1997-05-31,5.59
131,1 - UNIVERSITY & I-630,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-05-31,5.04
132,1 - UNIVERSITY & I-630,P,MG/L,1 / 3 MO.,1997-05-31,0.28
133,1 - UNIVERSITY & I-630,CaCO3,MG/L,1 / 3 MO.,1997-05-31,42.0
134,1 - UNIVERSITY & I-630,Ag,UG/L,1 / 3 MO.,1997-05-31,1.0
135,1 - UNIVERSITY & I-630,Zn,UG/L,1 / 3 MO.,1997-05-31,140.0
136,1 - UNIVERSITY & I-630,Cd,UG/L,1 / 3 MO.,1997-05-31,0.5
137,1 - UNIVERSITY & I-630,Pb,UG/L,1 / 3 MO.,1997-05-31,28.8
138,1 - UNIVERSITY & I-630,Cu,UG/L,1 / 3 MO.,1997-05-31,14.7
139,1 - UNIVERSITY & I-630,Flow,MGD,1 / 3 MO.,1997-05-31,0.043
140,1 - UNIVERSITY & I-630,TDS,MG/L,1 / 3 MO.,1997-05-31,64.0
141,1 - UNIVERSITY & I-630,Streptococci,#/100ML,1 / 3 MO.,1997-05-31,295.0
142,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1997-05-31,1.0
143,1 - UNIVERSITY & I-630,"BOD, C",MG/L,1 / 3 MO.,1997-05-31,18.0
144,2 - 33RD & WHITFIELD,Se,UG/L,1 / 3 MO.,1997-05-31,5.0
145,2 - 33RD & WHITFIELD,Be,UG/L,1 / 3 MO.,1997-05-31,0.5
146,2 - 33RD & WHITFIELD,Ni,UG/L,1 / 3 MO.,1997-05-31,7.6
147,2 - 33RD & WHITFIELD,Cr,UG/L,1 / 3 MO.,1997-05-31,5.0
148,2 - 33RD & WHITFIELD,Hg,UG/L,1 / 3 MO.,1997-05-31,0.2
149,2 - 33RD & WHITFIELD,Cyanide,UG/L,1 / 3 MO.,1997-05-31,10.0
150,2 - 33RD & WHITFIELD,BOD,MG/L,1 / 3 MO.,1997-05-31,16.0
151,2 - 33RD & WHITFIELD,pH,SU,1 / 3 MO.,1997-05-31,7.3
152,2 - 33RD & WHITFIELD,TSS,MG/L,1 / 3 MO.,1997-05-31,30.0
153,2 - 33RD & WHITFIELD,Oil,MG/L,1 / 3 MO.,1997-05-31,2.33
154,2 - 33RD & WHITFIELD,N,MG/L,1 / 3 MO.,1997-05-31,5.06
155,2 - 33RD & WHITFIELD,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-05-31,4.48
156,2 - 33RD & WHITFIELD,P,MG/L,1 / 3 MO.,1997-05-31,0.2
157,2 - 33RD & WHITFIELD,CaCO3,MG/L,1 / 3 MO.,1997-05-31,50.0
158,2 - 33RD & WHITFIELD,Ag,UG/L,1 / 3 MO.,1997-05-31,1.0
159,2 - 33RD & WHITFIELD,Zn,UG/L,1 / 3 MO.,1997-05-31,17.0
160,2 - 33RD & WHITFIELD,Cd,UG/L,1 / 3 MO.,1997-05-31,0.5
161,2 - 33RD & WHITFIELD,Pb,UG/L,1 / 3 MO.,1997-05-31,4.85
162,2 - 33RD & WHITFIELD,Cu,UG/L,1 / 3 MO.,1997-05-31,9.35
163,2 - 33RD & WHITFIELD,Flow,MGD,1 / 3 MO.,1997-05-31,0.794
164,2 - 33RD & WHITFIELD,TDS,MG/L,1 / 3 MO.,1997-05-31,88.0
165,2 - 33RD & WHITFIELD,Streptococci,#/100ML,1 / 3 MO.,1997-05-31,120.0
166,2 - 33RD & WHITFIELD,E.Coli,#/100ML,1 / 3 MO.,1997-05-31,1.0
167,2 - 33RD & WHITFIELD,"BOD, C",MG/L,1 / 3 MO.,1997-05-31,10.0
168,3 - CHENAL PKWY & OAK MEADOW,Se,UG/L,1 / 3 MO.,1997-05-31,5.0
169,3 - CHENAL PKWY & OAK MEADOW,Be,UG/L,1 / 3 MO.,1997-05-31,0.5
170,3 - CHENAL PKWY & OAK MEADOW,Ni,UG/L,1 / 3 MO.,1997-05-31,6.8
171,3 - CHENAL PKWY & OAK MEADOW,Cr,UG/L,1 / 3 MO.,1997-05-31,5.0
172,3 - CHENAL PKWY & OAK MEADOW,Hg,UG/L,1 / 3 MO.,1997-05-31,0.3
173,3 - CHENAL PKWY & OAK MEADOW,Cyanide,UG/L,1 / 3 MO.,1997-05-31,10.0
174,3 - CHENAL PKWY & OAK MEADOW,BOD,MG/L,1 / 3 MO.,1997-05-31,12.0
175,3 - CHENAL PKWY & OAK MEADOW,pH,SU,1 / 3 MO.,1997-05-31,6.75
176,3 - CHENAL PKWY & OAK MEADOW,TSS,MG/L,1 / 3 MO.,1997-05-31,24.0
177,3 - CHENAL PKWY & OAK MEADOW,Oil,MG/L,1 / 3 MO.,1997-05-31,1.4
178,3 - CHENAL PKWY & OAK MEADOW,N,MG/L,1 / 3 MO.,1997-05-31,2.08
179,3 - CHENAL PKWY & OAK MEADOW,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-05-31,1.68
180,3 - CHENAL PKWY & OAK MEADOW,P,MG/L,1 / 3 MO.,1997-05-31,0.11
181,3 - CHENAL PKWY & OAK MEADOW,CaCO3,MG/L,1 / 3 MO.,1997-05-31,44.0
182,3 - CHENAL PKWY & OAK MEADOW,Ag,UG/L,1 / 3 MO.,1997-05-31,1.0
183,3 - CHENAL PKWY & OAK MEADOW,Zn,UG/L,1 / 3 MO.,1997-05-31,10.0
184,3 - CHENAL PKWY & OAK MEADOW,Cd,UG/L,1 / 3 MO.,1997-05-31,0.5
185,3 - CHENAL PKWY & OAK MEADOW,Pb,UG/L,1 / 3 MO.,1997-05-31,1.59
186,3 - CHENAL PKWY & OAK MEADOW,Cu,UG/L,1 / 3 MO.,1997-05-31,7.4
187,3 - CHENAL PKWY & OAK MEADOW,Flow,MGD,1 / 3 MO.,1997-05-31,2.592
188,3 - CHENAL PKWY & OAK MEADOW,TDS,MG/L,1 / 3 MO.,1997-05-31,68.0
189,3 - CHENAL PKWY & OAK MEADOW,Streptococci,#/100ML,1 / 3 MO.,1997-05-31,480.0
190,3 - CHENAL PKWY & OAK MEADOW,E.Coli,#/100ML,1 / 3 MO.,1997-05-31,2.0
191,3 - CHENAL PKWY & OAK MEADOW,"BOD, C",MG/L,1 / 3 MO.,1997-05-31,8.0
192,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Se,UG/L,1 / 3 MO.,1997-05-31,5.0
193,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Be,UG/L,1 / 3 MO.,1997-05-31,0.5
194,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Ni,UG/L,1 / 3 MO.,1997-05-31,11.5
195,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cr,UG/L,1 / 3 MO.,1997-05-31,6.78
196,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Hg,UG/L,1 / 3 MO.,1997-05-31,0.2
197,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cyanide,UG/L,1 / 3 MO.,1997-05-31,10.0
198,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),BOD,MG/L,1 / 3 MO.,1997-05-31,17.0
199,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),pH,SU,1 / 3 MO.,1997-05-31,7.34
200,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),TSS,MG/L,1 / 3 MO.,1997-05-31,53.0
201,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Oil,MG/L,1 / 3 MO.,1997-05-31,1.5
202,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),N,MG/L,1 / 3 MO.,1997-05-31,11.68
203,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),"N, Kjeldahl",MG/L,1 / 3 MO.,1997-05-31,11.2
204,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),P,MG/L,1 / 3 MO.,1997-05-31,0.56
205,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),CaCO3,MG/L,1 / 3 MO.,1997-05-31,50.0
206,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Ag,UG/L,1 / 3 MO.,1997-05-31,1.0
207,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Zn,UG/L,1 / 3 MO.,1997-05-31,26.0
208,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cd,UG/L,1 / 3 MO.,1997-05-31,0.5
209,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Pb,UG/L,1 / 3 MO.,1997-05-31,3.85
210,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cu,UG/L,1 / 3 MO.,1997-05-31,13.5
211,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Flow,MGD,1 / 3 MO.,1997-05-31,0.43200000000000005
212,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),TDS,MG/L,1 / 3 MO.,1997-05-31,128.0
213,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Streptococci,#/100ML,1 / 3 MO.,1997-05-31,1372.0
214,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),E.Coli,#/100ML,1 / 3 MO.,1997-05-31,2.0
215,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),"BOD, C",MG/L,1 / 3 MO.,1997-05-31,11.0
216,5 - 14TH & BOND,Se,UG/L,1 / 3 MO.,1997-05-31,5.0
217,5 - 14TH & BOND,Be,UG/L,1 / 3 MO.,1997-05-31,0.5
218,5 - 14TH & BOND,Ni,UG/L,1 / 3 MO.,1997-05-31,1.0
219,5 - 14TH & BOND,Cr,UG/L,1 / 3 MO.,1997-05-31,5.0
220,5 - 14TH & BOND,Hg,UG/L,1 / 3 MO.,1997-05-31,0.2
221,5 - 14TH & BOND,Cyanide,UG/L,1 / 3 MO.,1997-05-31,10.0
222,5 - 14TH & BOND,BOD,MG/L,1 / 3 MO.,1997-05-31,15.0
223,5 - 14TH & BOND,pH,SU,1 / 3 MO.,1997-05-31,6.9
224,5 - 14TH & BOND,TSS,MG/L,1 / 3 MO.,1997-05-31,7.0
225,5 - 14TH & BOND,Oil,MG/L,1 / 3 MO.,1997-05-31,8.11
226,5 - 14TH & BOND,N,MG/L,1 / 3 MO.,1997-05-31,1.26
227,5 - 14TH & BOND,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-05-31,1.12
228,5 - 14TH & BOND,P,MG/L,1 / 3 MO.,1997-05-31,0.17
229,5 - 14TH & BOND,CaCO3,MG/L,1 / 3 MO.,1997-05-31,24.0
230,5 - 14TH & BOND,Ag,UG/L,1 / 3 MO.,1997-05-31,1.0
231,5 - 14TH & BOND,Zn,UG/L,1 / 3 MO.,1997-05-31,55.0
232,5 - 14TH & BOND,Cd,UG/L,1 / 3 MO.,1997-05-31,0.5
233,5 - 14TH & BOND,Pb,UG/L,1 / 3 MO.,1997-05-31,1.0
234,5 - 14TH & BOND,Cu,UG/L,1 / 3 MO.,1997-05-31,6.05
235,5 - 14TH & BOND,Flow,MGD,1 / 3 MO.,1997-05-31,0.013999999999999999
236,5 - 14TH & BOND,TDS,MG/L,1 / 3 MO.,1997-05-31,76.0
237,5 - 14TH & BOND,Streptococci,#/100ML,1 / 3 MO.,1997-05-31,460.0
238,5 - 14TH & BOND,E.Coli,#/100ML,1 / 3 MO.,1997-05-31,1.0
239,5 - 14TH & BOND,"BOD, C",MG/L,1 / 3 MO.,1997-05-31,7.0
240,1 - UNIVERSITY & I-630,Se,UG/L,1 / 3 MO.,1997-08-31,2.0
241,1 - UNIVERSITY & I-630,Be,UG/L,1 / 3 MO.,1997-08-31,1.0
242,1 - UNIVERSITY & I-630,Ni,UG/L,1 / 3 MO.,1997-08-31,1.0
243,1 - UNIVERSITY & I-630,Cr,UG/L,1 / 3 MO.,1997-08-31,1.0
244,1 - UNIVERSITY & I-630,Hg,UG/L,1 / 3 MO.,1997-08-31,1.0
245,1 - UNIVERSITY & I-630,Cyanide,UG/L,1 / 3 MO.,1997-08-31,9.0
246,1 - UNIVERSITY & I-630,BOD,MG/L,1 / 3 MO.,1997-08-31,4.4
247,1 - UNIVERSITY & I-630,pH,SU,1 / 3 MO.,1997-08-31,6.9
248,1 - UNIVERSITY & I-630,TSS,MG/L,1 / 3 MO.,1997-08-31,5.6
249,1 - UNIVERSITY & I-630,Oil,MG/L,1 / 3 MO.,1997-08-31,0.1
250,1 - UNIVERSITY & I-630,N,MG/L,1 / 3 MO.,1997-08-31,1.37
251,1 - UNIVERSITY & I-630,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-08-31,0.2
252,1 - UNIVERSITY & I-630,P,MG/L,1 / 3 MO.,1997-08-31,0.24
253,1 - UNIVERSITY & I-630,CaCO3,MG/L,1 / 3 MO.,1997-08-31,12.0
254,1 - UNIVERSITY & I-630,Ag,UG/L,1 / 3 MO.,1997-08-31,1.0
255,1 - UNIVERSITY & I-630,Zn,UG/L,1 / 3 MO.,1997-08-31,47.0
256,1 - UNIVERSITY & I-630,Cd,UG/L,1 / 3 MO.,1997-08-31,1.0
257,1 - UNIVERSITY & I-630,Pb,UG/L,1 / 3 MO.,1997-08-31,1.9
258,1 - UNIVERSITY & I-630,Cu,UG/L,1 / 3 MO.,1997-08-31,8.4
259,1 - UNIVERSITY & I-630,Flow,MGD,1 / 3 MO.,1997-08-31,0.215
260,1 - UNIVERSITY & I-630,TDS,MG/L,1 / 3 MO.,1997-08-31,126.0
