Location,Parameter,Unit,Frequency,Date,Value
2,E.Coli,#/100mL,1 / 3 MO.,2017-02-28,205
2,Streptococci,#/100mL,1 / 3 MO.,2017-02-28,195
2,Cd,ug/L,1 / 3 MO.,2017-02-28,3
2,CaCO3,mg/L,1 / 3 MO.,2017-02-28,96
2,TSS,mg/L,1 / 3 MO.,2017-02-28,3
2,Pb,ug/L,1 / 3 MO.,2017-02-28,0.5
2,Zn,ug/L,1 / 3 MO.,2017-02-28,6
2,Cu,ug/L,1 / 3 MO.,2017-02-28,9
2,pH,SU,1 / 3 MO.,2017-02-28,7.4
2,P,mg/L,1 / 3 MO.,2017-02-28,0.05
2,BOD,mg/L,1 / 3 MO.,2017-02-28,7
2,TDS,mg/L,1 / 3 MO.,2017-02-28,84
2,Flow,MGD,1 / 3 MO.,2017-02-28,0.007848
6,Streptococci,#/100mL,1 / 3 MO.,2017-02-28,517
6,TDS,mg/L,1 / 3 MO.,2017-02-28,94
6,N,mg/L,1 / 3 MO.,2017-02-28,0.54
6,CaCO3,mg/L,1 / 3 MO.,2017-02-28,12
6,BOD,mg/L,1 / 3 MO.,2017-02-28,5
6,Cd,ug/L,1 / 3 MO.,2017-02-28,5
6,Cu,ug/L,1 / 3 MO.,2017-02-28,9
6,Oil,mg/L,1 / 3 MO.,2017-02-28,1.4
6,Flow,MGD,1 / 3 MO.,2017-02-28,0.0144
6,Pb,ug/L,1 / 3 MO.,2017-02-28,0.5
6,TSS,mg/L,1 / 3 MO.,2017-02-28,18
6,Ag,ug/L,1 / 3 MO.,2017-02-28,8
6,E.Coli,#/100mL,1 / 3 MO.,2017-02-28,545
6,P,mg/L,1 / 3 MO.,2017-02-28,0.11
6,pH,SU,1 / 3 MO.,2017-02-28,7.3
6,Zn,ug/L,1 / 3 MO.,2017-02-28,13
2,TSS,mg/L,1 / 3 MO.,2017-05-31,4
2,Cd,ug/L,1 / 3 MO.,2017-05-31,4
2,Pb,ug/L,1 / 3 MO.,2017-05-31,8
2,P,mg/L,1 / 3 MO.,2017-05-31,0.05
2,Flow,MGD,1 / 3 MO.,2017-05-31,1.632
2,BOD,mg/L,1 / 3 MO.,2017-05-31,3
2,N,mg/L,1 / 3 MO.,2017-05-31,0.54
2,CaCO3,mg/L,1 / 3 MO.,2017-05-31,36
2,E.Coli,#/100mL,1 / 3 MO.,2017-05-31,1350
2,Ag,ug/L,1 / 3 MO.,2017-05-31,0.5
2,Oil,mg/L,1 / 3 MO.,2017-05-31,4.6
2,pH,SU,1 / 3 MO.,2017-05-31,7.1
2,Cu,ug/L,1 / 3 MO.,2017-05-31,4
2,TDS,mg/L,1 / 3 MO.,2017-05-31,108
2,Zn,ug/L,1 / 3 MO.,2017-05-31,17
2,Streptococci,#/100mL,1 / 3 MO.,2017-05-31,2250
3,BOD,mg/L,1 / 3 MO.,2017-05-31,2
3,TSS,mg/L,1 / 3 MO.,2017-05-31,3
3,Zn,ug/L,1 / 3 MO.,2017-05-31,7
3,E.Coli,#/100mL,1 / 3 MO.,2017-05-31,1880
3,N,mg/L,1 / 3 MO.,2017-05-31,2.56
3,Flow,MGD,1 / 3 MO.,2017-05-31,0.6034
3,Ag,ug/L,1 / 3 MO.,2017-05-31,0.5
3,P,mg/L,1 / 3 MO.,2017-05-31,0.08
3,CaCO3,mg/L,1 / 3 MO.,2017-05-31,20
3,Oil,mg/L,1 / 3 MO.,2017-05-31,1.4
3,TDS,mg/L,1 / 3 MO.,2017-05-31,84
3,Streptococci,#/100mL,1 / 3 MO.,2017-05-31,2250
3,Cu,ug/L,1 / 3 MO.,2017-05-31,5
3,Cd,ug/L,1 / 3 MO.,2017-05-31,3
3,Pb,ug/L,1 / 3 MO.,2017-05-31,7
3,pH,SU,1 / 3 MO.,2017-05-31,7.4
6,Zn,ug/L,1 / 3 MO.,2017-05-31,1
6,BOD,mg/L,1 / 3 MO.,2017-05-31,4
6,N,mg/L,1 / 3 MO.,2017-05-31,0.13
6,Cd,ug/L,1 / 3 MO.,2017-05-31,3.6
6,P,mg/L,1 / 3 MO.,2017-05-31,0.05
6,Ag,ug/L,1 / 3 MO.,2017-05-31,0.5
6,Cu,ug/L,1 / 3 MO.,2017-05-31,4.8
6,Pb,ug/L,1 / 3 MO.,2017-05-31,7.9
6,TSS,mg/L,1 / 3 MO.,2017-05-31,1
6,Streptococci,#/100mL,1 / 3 MO.,2017-05-31,125
6,CaCO3,mg/L,1 / 3 MO.,2017-05-31,16
6,TDS,mg/L,1 / 3 MO.,2017-05-31,98
6,pH,SU,1 / 3 MO.,2017-05-31,7.1
6,Oil,mg/L,1 / 3 MO.,2017-05-31,2.6
6,Flow,MGD,1 / 3 MO.,2017-05-31,3.383
6,E.Coli,#/100mL,1 / 3 MO.,2017-05-31,75
1,E.Coli,#/100mL,1 / 3 MO.,2017-05-31,1800
1,N,mg/L,1 / 3 MO.,2017-05-31,0.65
1,Zn,ug/L,1 / 3 MO.,2017-05-31,41
1,Cd,ug/L,1 / 3 MO.,2017-05-31,3
1,Flow,MGD,1 / 3 MO.,2017-05-31,12.91
1,Pb,ug/L,1 / 3 MO.,2017-05-31,8
1,Cu,ug/L,1 / 3 MO.,2017-05-31,7
1,CaCO3,mg/L,1 / 3 MO.,2017-05-31,40
1,BOD,mg/L,1 / 3 MO.,2017-05-31,3
1,TSS,mg/L,1 / 3 MO.,2017-05-31,1
1,P,mg/L,1 / 3 MO.,2017-05-31,0.06
1,Ag,ug/L,1 / 3 MO.,2017-05-31,0.5
1,pH,SU,1 / 3 MO.,2017-05-31,7
1,Oil,mg/L,1 / 3 MO.,2017-05-31,1.6
1,TDS,mg/L,1 / 3 MO.,2017-05-31,112
1,Streptococci,#/100mL,1 / 3 MO.,2017-05-31,1350
5,Streptococci,#/100mL,1 / 3 MO.,2017-05-31,25
5,TDS,mg/L,1 / 3 MO.,2017-05-31,86
5,Flow,MGD,1 / 3 MO.,2017-05-31,0.6034
5,P,mg/L,1 / 3 MO.,2017-05-31,0.05
5,TSS,mg/L,1 / 3 MO.,2017-05-31,4
5,Zn,ug/L,1 / 3 MO.,2017-05-31,62
5,CaCO3,mg/L,1 / 3 MO.,2017-05-31,12
5,Ag,ug/L,1 / 3 MO.,2017-05-31,0.5
5,BOD,mg/L,1 / 3 MO.,2017-05-31,4
5,Oil,mg/L,1 / 3 MO.,2017-05-31,1.4
5,E.Coli,#/100mL,1 / 3 MO.,2017-05-31,110
5,Pb,ug/L,1 / 3 MO.,2017-05-31,8
5,pH,SU,1 / 3 MO.,2017-05-31,7.1
5,Cd,ug/L,1 / 3 MO.,2017-05-31,4
5,Cu,ug/L,1 / 3 MO.,2017-05-31,9
5,N,mg/L,1 / 3 MO.,2017-05-31,0.21
1,E.Coli,#/100mL,1 / 3 MO.,2017-08-31,1250
1,Oil,mg/L,1 / 3 MO.,2017-08-31,2.4
1,TDS,mg/L,1 / 3 MO.,2017-08-31,48
1,CaCO3,mg/L,1 / 3 MO.,2017-08-31,36
1,Zn,ug/L,1 / 3 MO.,2017-08-31,76
1,BOD,mg/L,1 / 3 MO.,2017-08-31,4
1,Flow,MGD,1 / 3 MO.,2017-08-31,0.0455
1,Pb,ug/L,1 / 3 MO.,2017-08-31,0.5
1,P,mg/L,1 / 3 MO.,2017-08-31,0.27
1,pH,SU,1 / 3 MO.,2017-08-31,6.6
1,Ag,ug/L,1 / 3 MO.,2017-08-31,0.5
1,Streptococci,#/100mL,1 / 3 MO.,2017-08-31,1000
1,N,mg/L,1 / 3 MO.,2017-08-31,0.66
1,TSS,mg/L,1 / 3 MO.,2017-08-31,10
1,Cu,ug/L,1 / 3 MO.,2017-08-31,9
1,Cd,ug/L,1 / 3 MO.,2017-08-31,1
2,E.Coli,#/100mL,1 / 3 MO.,2017-08-31,820
2,BOD,mg/L,1 / 3 MO.,2017-08-31,6
2,CaCO3,mg/L,1 / 3 MO.,2017-08-31,60
2,Oil,mg/L,1 / 3 MO.,2017-08-31,7.1
2,P,mg/L,1 / 3 MO.,2017-08-31,0.13
2,Streptococci,#/100mL,1 / 3 MO.,2017-08-31,800
2,N,mg/L,1 / 3 MO.,2017-08-31,0.49
2,Zn,ug/L,1 / 3 MO.,2017-08-31,50.7
2,Flow,MGD,1 / 3 MO.,2017-08-31,0.1995
2,TSS,mg/L,1 / 3 MO.,2017-08-31,8
2,TDS,mg/L,1 / 3 MO.,2017-08-31,12
2,pH,SU,1 / 3 MO.,2017-08-31,6.7
2,Cu,ug/L,1 / 3 MO.,2017-08-31,9.3
2,Ag,ug/L,1 / 3 MO.,2017-08-31,0.5
2,Pb,ug/L,1 / 3 MO.,2017-08-31,0.5
2,Cd,ug/L,1 / 3 MO.,2017-08-31,1
5,Zn,ug/L,1 / 3 MO.,2017-08-31,122.7
5,TSS,mg/L,1 / 3 MO.,2017-08-31,15
5,Cu,ug/L,1 / 3 MO.,2017-08-31,15.1
5,BOD,mg/L,1 / 3 MO.,2017-08-31,3
5,E.Coli,#/100mL,1 / 3 MO.,2017-08-31,350
5,Streptococci,#/100mL,1 / 3 MO.,2017-08-31,1210
5,N,mg/L,1 / 3 MO.,2017-08-31,0.74
5,pH,SU,1 / 3 MO.,2017-08-31,6.7
5,Oil,mg/L,1 / 3 MO.,2017-08-31,4.6
5,TDS,mg/L,1 / 3 MO.,2017-08-31,10
5,P,mg/L,1 / 3 MO.,2017-08-31,0.24
5,CaCO3,mg/L,1 / 3 MO.,2017-08-31,24
5,Ag,ug/L,1 / 3 MO.,2017-08-31,0.5
5,Pb,ug/L,1 / 3 MO.,2017-08-31,0.5
5,Flow,MGD,1 / 3 MO.,2017-08-31,0.9975
5,Cd,ug/L,1 / 3 MO.,2017-08-31,1.5
3,Flow,MGD,1 / 3 MO.,2017-08-31,0.001
3,TSS,mg/L,1 / 3 MO.,2017-08-31,13
3,N,mg/L,1 / 3 MO.,2017-08-31,1.85
3,pH,SU,1 / 3 MO.,2017-08-31,7
3,Cu,ug/L,1 / 3 MO.,2017-08-31,6.3
3,Streptococci,#/100mL,1 / 3 MO.,2017-08-31,80
3,Ag,ug/L,1 / 3 MO.,2017-08-31,0.5
3,Cd,ug/L,1 / 3 MO.,2017-08-31,0.1
3,TDS,mg/L,1 / 3 MO.,2017-08-31,10
3,Zn,ug/L,1 / 3 MO.,2017-08-31,60.3
3,P,mg/L,1 / 3 MO.,2017-08-31,0.42
3,Oil,mg/L,1 / 3 MO.,2017-08-31,2.1
3,E.Coli,#/100mL,1 / 3 MO.,2017-08-31,75
3,Pb,ug/L,1 / 3 MO.,2017-08-31,0.5
3,BOD,mg/L,1 / 3 MO.,2017-08-31,4
3,CaCO3,mg/L,1 / 3 MO.,2017-08-31,44
6,Zn,ug/L,1 / 3 MO.,2017-08-31,13
6,TDS,mg/L,1 / 3 MO.,2017-08-31,80
6,Ag,ug/L,1 / 3 MO.,2017-08-31,3
6,pH,SU,1 / 3 MO.,2017-08-31,7.2
6,Flow,MGD,1 / 3 MO.,2017-08-31,0.00959
6,TSS,mg/L,1 / 3 MO.,2017-08-31,16
6,E.Coli,#/100mL,1 / 3 MO.,2017-08-31,1670
6,Oil,mg/L,1 / 3 MO.,2017-08-31,1.4
6,Streptococci,#/100mL,1 / 3 MO.,2017-08-31,1810
6,Cd,ug/L,1 / 3 MO.,2017-08-31,2.8
6,BOD,mg/L,1 / 3 MO.,2017-08-31,3
6,P,mg/L,1 / 3 MO.,2017-08-31,0.42
6,Pb,ug/L,1 / 3 MO.,2017-08-31,4
6,CaCO3,mg/L,1 / 3 MO.,2017-08-31,20
6,Cu,ug/L,1 / 3 MO.,2017-08-31,4.6
6,N,mg/L,1 / 3 MO.,2017-08-31,0.35
3,Flow,MGD,1 / 3 MO.,2017-11-30,0.00959
3,Streptococci,#/100mL,1 / 3 MO.,2017-11-30,20
3,TSS,mg/L,1 / 3 MO.,2017-11-30,1
3,P,mg/L,1 / 3 MO.,2017-11-30,0.07
3,Zn,ug/L,1 / 3 MO.,2017-11-30,19
3,TDS,mg/L,1 / 3 MO.,2017-11-30,44
3,pH,SU,1 / 3 MO.,2017-11-30,7.2
3,Pb,ug/L,1 / 3 MO.,2017-11-30,1
3,E.Coli,#/100mL,1 / 3 MO.,2017-11-30,30
3,Oil,mg/L,1 / 3 MO.,2017-11-30,1.4
3,N,mg/L,1 / 3 MO.,2017-11-30,0.28
3,BOD,mg/L,1 / 3 MO.,2017-11-30,3
3,Cu,ug/L,1 / 3 MO.,2017-11-30,3
3,CaCO3,mg/L,1 / 3 MO.,2017-11-30,18
3,Ag,ug/L,1 / 3 MO.,2017-11-30,4
3,Cd,ug/L,1 / 3 MO.,2017-11-30,0.5
5,E.Coli,#/100mL,1 / 3 MO.,2017-11-30,150
5,Streptococci,#/100mL,1 / 3 MO.,2017-11-30,130
5,Cu,ug/L,1 / 3 MO.,2017-11-30,10
5,P,mg/L,1 / 3 MO.,2017-11-30,0.19
5,BOD,mg/L,1 / 3 MO.,2017-11-30,7
5,Pb,ug/L,1 / 3 MO.,2017-11-30,6
5,Zn,ug/L,1 / 3 MO.,2017-11-30,68
5,CaCO3,mg/L,1 / 3 MO.,2017-11-30,26
5,TDS,mg/L,1 / 3 MO.,2017-11-30,58
5,Oil,mg/L,1 / 3 MO.,2017-11-30,2.2
5,TSS,mg/L,1 / 3 MO.,2017-11-30,15
5,pH,SU,1 / 3 MO.,2017-11-30,7.6
5,Cd,ug/L,1 / 3 MO.,2017-11-30,0.6
5,Flow,MGD,1 / 3 MO.,2017-11-30,0.005068
5,Ag,ug/L,1 / 3 MO.,2017-11-30,4
5,N,mg/L,1 / 3 MO.,2017-11-30,0.98
2,P,mg/L,1 / 3 MO.,2017-11-30,0.09
2,Streptococci,#/100mL,1 / 3 MO.,2017-11-30,260
2,CaCO3,mg/L,1 / 3 MO.,2017-11-30,88
2,Zn,ug/L,1 / 3 MO.,2017-11-30,24
2,TSS,mg/L,1 / 3 MO.,2017-11-30,4
2,Cu,ug/L,1 / 3 MO.,2017-11-30,3
2,Ag,ug/L,1 / 3 MO.,2017-11-30,4
2,Flow,MGD,1 / 3 MO.,2017-11-30,0.00576
2,BOD,mg/L,1 / 3 MO.,2017-11-30,5
2,Oil,mg/L,1 / 3 MO.,2017-11-30,1.4
2,E.Coli,#/100mL,1 / 3 MO.,2017-11-30,290
2,N,mg/L,1 / 3 MO.,2017-11-30,0.2
2,Cd,ug/L,1 / 3 MO.,2017-11-30,0.3
2,TDS,mg/L,1 / 3 MO.,2017-11-30,32
2,pH,SU,1 / 3 MO.,2017-11-30,7.3
2,Pb,ug/L,1 / 3 MO.,2017-11-30,1
1,Streptococci,#/100mL,1 / 3 MO.,2017-11-30,840
1,Oil,mg/L,1 / 3 MO.,2017-11-30,6.6
1,E.Coli,#/100mL,1 / 3 MO.,2017-11-30,870
1,Ag,ug/L,1 / 3 MO.,2017-11-30,4
1,Cu,ug/L,1 / 3 MO.,2017-11-30,22
1,Zn,ug/L,1 / 3 MO.,2017-11-30,124
1,TDS,mg/L,1 / 3 MO.,2017-11-30,86
1,Cd,ug/L,1 / 3 MO.,2017-11-30,0.6
1,pH,SU,1 / 3 MO.,2017-11-30,7.4
1,Pb,ug/L,1 / 3 MO.,2017-11-30,4
1,BOD,mg/L,1 / 3 MO.,2017-11-30,20
1,CaCO3,mg/L,1 / 3 MO.,2017-11-30,54
1,P,mg/L,1 / 3 MO.,2017-11-30,0.21
1,Flow,MGD,1 / 3 MO.,2017-11-30,0.01728
1,N,mg/L,1 / 3 MO.,2017-11-30,1.67
1,TSS,mg/L,1 / 3 MO.,2017-11-30,21
1,N,mg/L,1 / 3 MO.,2018-02-28,0.72
1,Pb,ug/L,1 / 3 MO.,2018-02-28,0.5
1,CaCO3,mg/L,1 / 3 MO.,2018-02-28,44
1,Streptococci,#/100mL,1 / 3 MO.,2018-02-28,400
1,TDS,mg/L,1 / 3 MO.,2018-02-28,52
1,pH,SU,1 / 3 MO.,2018-02-28,6.9
1,Flow,MGD,1 / 3 MO.,2018-02-28,0.00432
1,BOD,mg/L,1 / 3 MO.,2018-02-28,4
1,Cd,ug/L,1 / 3 MO.,2018-02-28,0.1
1,Ag,ug/L,1 / 3 MO.,2018-02-28,0.5
1,Oil,mg/L,1 / 3 MO.,2018-02-28,1.4
1,TSS,mg/L,1 / 3 MO.,2018-02-28,3
1,P,mg/L,1 / 3 MO.,2018-02-28,0.11
1,Cu,ug/L,1 / 3 MO.,2018-02-28,4.4
1,E.Coli,#/100mL,1 / 3 MO.,2018-02-28,135
1,Zn,ug/L,1 / 3 MO.,2018-02-28,39.6
2,N,mg/L,1 / 3 MO.,2018-02-28,0.76
2,Zn,ug/L,1 / 3 MO.,2018-02-28,15.3
2,Cd,ug/L,1 / 3 MO.,2018-02-28,0.1
2,pH,SU,1 / 3 MO.,2018-02-28,6.6
2,BOD,mg/L,1 / 3 MO.,2018-02-28,3
2,Streptococci,#/100mL,1 / 3 MO.,2018-02-28,120
2,Cu,ug/L,1 / 3 MO.,2018-02-28,4.3
2,CaCO3,mg/L,1 / 3 MO.,2018-02-28,68
2,Oil,mg/L,1 / 3 MO.,2018-02-28,2.1
2,Flow,MGD,1 / 3 MO.,2018-02-28,0.00432
2,Pb,ug/L,1 / 3 MO.,2018-02-28,0.5
2,Ag,ug/L,1 / 3 MO.,2018-02-28,0.5
2,P,mg/L,1 / 3 MO.,2018-02-28,0.08
2,E.Coli,#/100mL,1 / 3 MO.,2018-02-28,2419
2,TSS,mg/L,1 / 3 MO.,2018-02-28,10
2,TDS,mg/L,1 / 3 MO.,2018-02-28,28
6,Streptococci,#/100mL,1 / 3 MO.,2018-02-28,200
6,BOD,mg/L,1 / 3 MO.,2018-02-28,4
6,TSS,mg/L,1 / 3 MO.,2018-02-28,14
6,CaCO3,mg/L,1 / 3 MO.,2018-02-28,16
6,Cu,ug/L,1 / 3 MO.,2018-02-28,3.6
6,pH,SU,1 / 3 MO.,2018-02-28,7.2
6,Ag,ug/L,1 / 3 MO.,2018-02-28,0.5
6,Flow,MGD,1 / 3 MO.,2018-02-28,0.00432
6,N,mg/L,1 / 3 MO.,2018-02-28,0.45
6,Pb,ug/L,1 / 3 MO.,2018-02-28,0.5
6,TDS,mg/L,1 / 3 MO.,2018-02-28,38
6,Cd,ug/L,1 / 3 MO.,2018-02-28,0.1
6,P,mg/L,1 / 3 MO.,2018-02-28,0.1
6,Zn,ug/L,1 / 3 MO.,2018-02-28,11.8
6,E.Coli,#/100mL,1 / 3 MO.,2018-02-28,960
6,Oil,mg/L,1 / 3 MO.,2018-02-28,1.4
3,Ag,ug/L,1 / 3 MO.,2018-02-28,0.5
3,Pb,ug/L,1 / 3 MO.,2018-02-28,1.3
3,BOD,mg/L,1 / 3 MO.,2018-02-28,4
3,Streptococci,#/100mL,1 / 3 MO.,2018-02-28,200
3,Cd,ug/L,1 / 3 MO.,2018-02-28,0.1
3,Flow,MGD,1 / 3 MO.,2018-02-28,0.001758
3,TSS,mg/L,1 / 3 MO.,2018-02-28,134
3,P,mg/L,1 / 3 MO.,2018-02-28,0.09
3,N,mg/L,1 / 3 MO.,2018-02-28,0.83
3,E.Coli,#/100mL,1 / 3 MO.,2018-02-28,1
3,Cu,ug/L,1 / 3 MO.,2018-02-28,5.4
3,pH,SU,1 / 3 MO.,2018-02-28,7
3,Zn,ug/L,1 / 3 MO.,2018-02-28,29.4
3,CaCO3,mg/L,1 / 3 MO.,2018-02-28,24
3,Oil,mg/L,1 / 3 MO.,2018-02-28,1.4
3,TDS,mg/L,1 / 3 MO.,2018-02-28,30
5,TDS,mg/L,1 / 3 MO.,2018-02-28,32
5,Zn,ug/L,1 / 3 MO.,2018-02-28,73.6
5,TSS,mg/L,1 / 3 MO.,2018-02-28,1
5,Flow,MGD,1 / 3 MO.,2018-02-28,0.001758
5,pH,SU,1 / 3 MO.,2018-02-28,6.2
5,P,mg/L,1 / 3 MO.,2018-02-28,0.14
5,BOD,mg/L,1 / 3 MO.,2018-02-28,4
5,Streptococci,#/100mL,1 / 3 MO.,2018-02-28,550
5,N,mg/L,1 / 3 MO.,2018-02-28,0.63
5,CaCO3,mg/L,1 / 3 MO.,2018-02-28,20
5,Oil,mg/L,1 / 3 MO.,2018-02-28,2.8
5,Pb,ug/L,1 / 3 MO.,2018-02-28,1.9
5,Cd,ug/L,1 / 3 MO.,2018-02-28,0.1
5,Cu,ug/L,1 / 3 MO.,2018-02-28,5.3
5,Ag,ug/L,1 / 3 MO.,2018-02-28,0.5
5,E.Coli,#/100mL,1 / 3 MO.,2018-02-28,770
3,Ag,ug/L,1 / 3 MO.,2018-05-31,14.6
3,N,mg/L,1 / 3 MO.,2018-05-31,0.78
3,BOD,mg/L,1 / 3 MO.,2018-05-31,6.4
3,Cd,ug/L,1 / 3 MO.,2018-05-31,2.8
3,Cu,ug/L,1 / 3 MO.,2018-05-31,0.5
3,Streptococci,#/100mL,1 / 3 MO.,2018-05-31,691
3,Oil,mg/L,1 / 3 MO.,2018-05-31,1.4
3,TDS,mg/L,1 / 3 MO.,2018-05-31,52
3,pH,SU,1 / 3 MO.,2018-05-31,6.2
3,CaCO3,mg/L,1 / 3 MO.,2018-05-31,32
3,Zn,ug/L,1 / 3 MO.,2018-05-31,1
3,TSS,mg/L,1 / 3 MO.,2018-05-31,8
3,P,mg/L,1 / 3 MO.,2018-05-31,0.07
3,E.Coli,#/100mL,1 / 3 MO.,2018-05-31,787.7
3,Pb,ug/L,1 / 3 MO.,2018-05-31,10
3,Flow,MGD,1 / 3 MO.,2018-05-31,0.006163
6,Cd,ug/L,1 / 3 MO.,2018-05-31,2.9
6,Streptococci,#/100mL,1 / 3 MO.,2018-05-31,12
6,Cu,ug/L,1 / 3 MO.,2018-05-31,0.5
6,Oil,mg/L,1 / 3 MO.,2018-05-31,3.2
6,CaCO3,mg/L,1 / 3 MO.,2018-05-31,16
6,pH,SU,1 / 3 MO.,2018-05-31,7.5
6,TSS,mg/L,1 / 3 MO.,2018-05-31,16
6,P,mg/L,1 / 3 MO.,2018-05-31,0.36
6,N,mg/L,1 / 3 MO.,2018-05-31,0.21
6,TDS,mg/L,1 / 3 MO.,2018-05-31,72
6,Ag,ug/L,1 / 3 MO.,2018-05-31,14.5
6,E.Coli,#/100mL,1 / 3 MO.,2018-05-31,11.4
6,Pb,ug/L,1 / 3 MO.,2018-05-31,10.1
6,Flow,MGD,1 / 3 MO.,2018-05-31,0.00864
6,Zn,ug/L,1 / 3 MO.,2018-05-31,1
6,BOD,mg/L,1 / 3 MO.,2018-05-31,3.9
1,pH,SU,1 / 3 MO.,2018-05-31,6.8
1,CaCO3,mg/L,1 / 3 MO.,2018-05-31,40
1,Pb,ug/L,1 / 3 MO.,2018-05-31,11.4
1,Streptococci,#/100mL,1 / 3 MO.,2018-05-31,3240
1,BOD,mg/L,1 / 3 MO.,2018-05-31,11.2
1,Flow,MGD,1 / 3 MO.,2018-05-31,0.0144
1,E.Coli,#/100mL,1 / 3 MO.,2018-05-31,3685.7
1,TDS,mg/L,1 / 3 MO.,2018-05-31,108
1,Cu,ug/L,1 / 3 MO.,2018-05-31,0.5
1,Ag,ug/L,1 / 3 MO.,2018-05-31,14.6
1,Zn,ug/L,1 / 3 MO.,2018-05-31,11.5
1,Cd,ug/L,1 / 3 MO.,2018-05-31,2.9
1,N,mg/L,1 / 3 MO.,2018-05-31,0.77
1,Oil,mg/L,1 / 3 MO.,2018-05-31,1.4
1,P,mg/L,1 / 3 MO.,2018-05-31,0.16
1,TSS,mg/L,1 / 3 MO.,2018-05-31,11
2,Cd,ug/L,1 / 3 MO.,2018-05-31,2.7
2,N,mg/L,1 / 3 MO.,2018-05-31,0.61
2,P,mg/L,1 / 3 MO.,2018-05-31,0.06
2,Flow,MGD,1 / 3 MO.,2018-05-31,0.012342
2,Streptococci,#/100mL,1 / 3 MO.,2018-05-31,118
2,Pb,ug/L,1 / 3 MO.,2018-05-31,10.5
2,Oil,mg/L,1 / 3 MO.,2018-05-31,1.4
2,E.Coli,#/100mL,1 / 3 MO.,2018-05-31,115.7
2,Cu,ug/L,1 / 3 MO.,2018-05-31,0.5
2,Ag,ug/L,1 / 3 MO.,2018-05-31,14
2,TDS,mg/L,1 / 3 MO.,2018-05-31,92
2,BOD,mg/L,1 / 3 MO.,2018-05-31,6.4
2,Zn,ug/L,1 / 3 MO.,2018-05-31,1
2,TSS,mg/L,1 / 3 MO.,2018-05-31,16
2,CaCO3,mg/L,1 / 3 MO.,2018-05-31,40
2,pH,SU,1 / 3 MO.,2018-05-31,8.9
5,N,mg/L,1 / 3 MO.,2018-05-31,0.65
