OUTFALL No. / LOCATION,PARAMETER,SAMPLE MEASURE UNIT,FREQUENCY / SAMPLE TYPE,,,1/1 TO 2/28/1997,,3/1 TO 5/31/1997,,6/1 TO 8/31/1997,,9/1 TO 11/30/1997,,12/1 TO 2/28/1998,,3/1 TO 5/31/1998,,6/1 TO 8/31/1998,,9/1 TO 11/30/1998,,12/1/1998 TO 2/28/1999,,3/1 TO 5/31/1999,,6/1 TO 8/31/1999,,9/1 TO 11/30/1999,,12/1/1999 TO 2/29/2000,,3/1 TO 5/31/2000,,6/1 TO 8/31/2000,,9/1 TO 11/30/2000,,12/1/2000 TO 2/29/2001,,3/1 TO 5/31/2001,,6/1 TO 8/31/2001,,9/1 TO 11/30/2001,,12/1/2001 TO 2/28/2002,,3/1 TO 5/31/2002,,6/1 TO 8/31/2002,,9/1 TO 11/30/2002,,12/1/2002 TO 2/28/2003,,3/1 TO 5/31/2003,,6/1 TO 8/31/2003,,9/1 TO 11/30/2003,,12/1/2003 TO 2/29/2004,,3/1 TO 5/31/2004,,6/1 TO 8/31/2004,,9/1 TO 11/30/2004,,12/1/2004 TO 2/28/2005,,3/1 TO 5/31/2005,,6/1 TO 8/31/2005,,9/1 TO 11/30/2005,,12/1/2005 TO 2/28/2006,,3/1 TO 5/31/2006,,6/1 TO 8/31/2006,,9/1 TO 11/30/2006,,12/1/2006 TO 2/28/2007,,3/1 TO 5/31/2007,,6/1 TO 8/31/2007,,9/1 TO 11/30/2007,,12/1/2007 TO 2/28/2008,,3/1 TO 5/31/2008,,6/1 TO 8/31/2008,,9/1 TO 11/30/2008,,12/1/2008 TO 2/28/2009,,3/1 TO 5/31/2009,,6/1 TO 8/31/2009,,9/1 TO 11/30/2009,,12/1/2009 TO 2/28/2010,,3/1 TO 5/31/2010,,6/1 TO 8/31/2010,,9/1 TO 11/30/2010,,12/1/2010 TO 2/28/2011,,3/1 TO 5/31/2011,,6/1 TO 8/31/2011,,9/1 TO 11/30/2011,,12/1/2011 TO 2/28/2012,,3/1 TO 5/31/2012,,6/1 TO 8/31/2012,,9/1 TO 11/30/2012,,12/1/2012 TO 2/28/2013,,3/1 TO 5/31/2013,,6/1 TO 8/31/2013,,9/1 TO 11/30/2013,,12/1/2013 TO 2/28/2014,,3/1 TO 5/31/2014,,6/1 TO 8/31/2014,,9/1 TO 11/30/2014,,12/1/2014 TO 2/28/2015,,3/1 TO 5/31/2015,,6/1 TO 8/31/2015,,9/1 TO 11/30/2015,,12/1/2015 TO 2/28/2016,,3/1 TO 5/31/2016,,6/1 TO 8/31/2016,,9/1 TO 11/30/2016,,12/1/2016 TO 2/28/2017,,3/1 TO 5/31/2017,,6/1 TO 8/31/2017,,9/1 TO 11/30/2017,,12/1/2017 TO 2/28/2018
1 - UNIVERSITY & I-630,"NITROGEN, TOTAL",MG/L,1 / 3 MO.,COMP/GRAB,,1.400,,5.590,<,1.370,,1.110,,18.860,,1.315,,2.592,,2.642,,2.993,,1.212,,5.105,,4.020,,5.424,,12.720,,7.260,,2.560,,5.890,,2.170,,4.160,,1.790,<,0.050,<,0.050,<,0.680,<,0.050,<,0.050,,0.510,,0.500,,0.520,,0.490,,0.490,,0.740,,0.050,,3.140,<,0.050,<,0.050,,0.920,,0.110,,0.835,,1.155,,0.860,,1.125,,1.459,,0.725,,2.530,,1.750,,1.430,,1.850,,0.068,,1.870,,0.960,,0.740,,2.360,,1.050,,1.340,,6.510,,0.560,,0.850,,0.405,,1.950,,2.490,,1.350,,0.460,,1.770,,1.120,,1.360,,2.240,,7.000,,2.520,,0.610,,0.810,,0.850,,0.520,,0.360,,0.390,,0.940,,0.420,,1.570,,0.540,,1.300,,1.550,,1.170,,0.650,,0.660,,1.670,,0.720
1 - UNIVERSITY & I-630,"NITROGEN, KJELDAHL  (NO LONGER REQUIRED 12-2013)",MG/L,1 / 3 MO.,COMP/GRAB,,1.230,,5.040,,0.200,,0.380,,1.005,,1.020,,1.020,,1.990,,1.800,,0.960,,4.250,,3.560,,5.010,,9.130,,6.120,,1.790,,5.540,,1.950,,4.110,,1.740,,3.350,,2.170,,2.300,,3.240,,2.860,,5.810,,17.200,,0.520,,1.270,,0.860,,9.500,,0.600,,1.110,,3.500,,4.810,,0.050,,0.050,,0.330,,0.750,,2.600,,0.763,,0.450,<,1.000,,3.400,<,1.000,,0.520,<,1.000,<,0.500,,0.200,,0.890,,0.100,<,0.228,,0.402,,0.290,,0.143,,0.093,,0.494,,0.337,<,0.050,,0.630,,0.270,,0.460,,1.640,,0.990,,1.240,,0.880,,2.350,,0.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"PHOSPHORUS, DISSOLVED",MG/L,1 / 3 MO.,COMP/GRAB,,0.200,,0.280,,0.240,,0.241,,0.072,,0.145,,0.266,,0.353,,0.159,,0.276,,0.320,,0.670,,0.330,,0.940,,2.740,,0.910,,0.760,,1.720,,0.570,,0.700,,1.060,,0.400,,0.450,,1.160,,0.330,,0.700,,0.430,,0.198,,0.410,,0.517,,0.340,,1.235,,0.498,,0.006,,0.226,,0.378,,0.296,,0.039,,0.368,,0.275,,0.083,,0.132,,0.720,<,0.100,,0.110,,0.300,<,1.000,,0.916,,0.700,,1.000,,1.700,,5.800,,0.920,,1.000,,2.500,,0.800,,0.400,,0.150,,0.300,,0.200,,0.880,,0.220,,0.110,,0.260,,0.350,,0.070,,0.510,,0.280,,0.060,,0.250,,0.420,,0.120,,0.120,,0.110,,0.110,,0.180,<,0.050,,0.070,,0.110,,0.090,,0.100,,0.060,,0.270,,0.210,,0.110
1 - UNIVERSITY & I-630,HARDNESS (CACO3) TOTAL,MG/L,1 / 3 MO.,COMP/GRAB,,68.000,,42.000,,12.000,,0.000,,68.900,,13.000,,42.000,,80.000,,84.000,,26.000,,24.000,,26.000,,22.000,,40.000,,28.000,,44.000,,36.000,,26.000,,50.000,,72.500,,20.000,,26.000,,72.000,,20.000,,10.000,,12.000,,8.000,,28.000,,6.000,,60.000,,104.000,,100.000,,56.000,,16.000,,16.000,,22.000,,76.000,,26.000,,36.000,,14.500,,10.200,,4.620,,2.160,,1.850,,13.400,,40.000,,97.100,,1.530,,22.000,,60.000,,68.000,,28.000,,44.000,,46.000,,50.000,,30.000,,22.000,,42.000,,32.000,,23.000,,11.000,,16.000,,48.000,,44.000,,40.000,,72.000,,130.000,,60.000,,80.000,,104.000,,91.000,,24.000,,64.000,,72.000,,44.000,,9.000,,68.000,,10.000,,60.000,,44.000,,56.000,,40.000,,36.000,,54.000,,44.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"SILVER, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,<,1.000,,1.000,<,1.000,<,3.000,,10.000,<,10.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,0.100,<,0.100,<,0.100,<,1.000,<,0.001,<,0.001,<,0.001,<,0.001,<,0.001,<,0.001,<,1.000,<,1.000,,0.500,<,1.000,<,0.200,<,0.100,,0.100,<,0.200,<,0.100,<,0.100,,19.800,<,0.100,<,0.100,<,0.100,<,0.100,<,0.100,<,0.100,<,0.100,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,<,0.500,,6.000,<,0.500,,2.000,<,0.500,,1.000,<,0.500,,44.000,,15.300,,4.000,,7.000,,0.500,,0.500,,4.000,,0.500
1 - UNIVERSITY & I-630,"ZINC, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,9.700,,140.000,,47.000,,96.000,,90.000,,81.000,,381.000,,241.000,,142.000,,97.000,,164.000,,325.000,,110.000,,140.000,,38.000,,100.000,,64.000,,11.000,,5.000,,5.000,<,1.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,,71.800,,11.000,,53.200,<,1.000,,0.090,,0.060,,0.420,,0.061,,0.112,,0.054,,27.600,,44.000,,61.500,,35.000,,30.400,,44.200,,23.900,,36.100,,97.900,,36.100,<,0.200,,34.300,,65.300,,44.200,,46.900,,11.800,,35.400,,18.400,<,1.000,,107.000,<,1.000,,13.500,<,1.000,,726.560,<,704.000,,166.000,,32.000,,14.000,,61.000,,62.000,,105.000,,42.500,<,54.000,,6.300,,91.000,,33.020,,51.000,,50.000,,41.000,,76.000,,124.000,,39.600
1 - UNIVERSITY & I-630,"CADMIUM, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,0.522,,0.500,<,1.000,,4.000,<,10.000,<,1.000,<,1.000,,2.000,,5.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,5.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,,1.350,<,0.100,,7.720,<,0.100,<,1.000,<,0.001,<,0.001,<,0.001,<,0.001,,0.014,<,0.001,<,1.000,<,1.000,,0.500,<,1.000,,0.200,<,0.110,,0.100,,0.500,<,0.300,,0.280,,1.000,,1.170,,2.070,<,0.100,,2.460,<,0.100,<,0.100,,2.510,<,0.100,<,0.100,<,0.100,<,0.500,<,0.100,<,0.100,<,0.100,<,0.100,<,0.100,<,0.100,,7.000,<,0.100,,1.000,<,0.100,<,0.100,,3.400,<,0.100,,3.210,,1.000,,2.000,,3.000,,1.000,,0.600,,0.100
1 - UNIVERSITY & I-630,"LEAD, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,17.450,,28.800,,1.900,,9.100,,15.000,,4.000,,8.000,,4.000,,9.800,,1.500,<,1.000,,62.000,,8.100,,4.000,,1.000,,1.000,,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,1.000,<,2.000,,6.500,<,0.100,<,1.000,<,0.005,,0.003,<,0.002,,0.002,<,0.001,,0.005,,2.700,,3.800,,2.900,,2.100,,2.310,,4.700,,1.200,,2.520,,17.100,,3.900,,9.200,,2.800,,26.200,<,0.100,,5.760,<,0.100,,2.650,,6.460,<,0.500,,3.700,,2.800,<,0.500,,195.000,,6.190,,35.000,<,0.500,<,9.000,<,0.500,<,0.500,<,0.500,,4.000,<,0.500,,4.000,<,0.500,,48.000,,15.040,,9.000,<,0.500,,8.000,,0.500,,4.000,,0.500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"COPPER, TOTAL RECOVERABLE",UG/L,1 / 3 MO.,COMP/GRAB,,8.460,,14.700,,8.400,,21.000,,3.000,,20.000,,35.000,,20.000,,20.000,<,1.000,,19.000,,33.000,<,1.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.000,<,5.740,,8.560,<,0.100,,1.500,<,0.020,,0.019,,0.007,,0.014,,0.036,,0.009,,4.200,,6.500,,17.900,,16.800,,11.400,,11.700,,6.600,,13.100,,18.300,,15.000,,0.510,,9.700,,10.000,,6.700,,8.600,,0.750,,7.500,,5.950,<,0.500,,14.000,,5.900,,10.400,,32.000,,153.000,,120.000,,0.500,,18.000,,4.000,,11.000,,6.000,,27.000,,11.000,,10.000,<,0.500,,6.000,,12.990,,5.000,,18.000,,7.000,,9.000,,22.000,,4.400
1 - UNIVERSITY & I-630,FLOW IN CONDUIT / THRU TREAT. PLANT,MGD,1 / 3 MO.,INST,,0.720,,0.043,,0.215,,2.690,,0.121,,5.000,,0.144,,4.090,,0.323,,6.460,,0.100,,6.030,,3.876,,12.920,,2.369,,4.030,,1.680,,3.770,,3.230,,1.615,,1.884,,29.070,,2.380,,6.920,,3.440,,2.584,,1.938,,2.580,,3.876,,2.580,,3.196,,2.584,,2.385,,3.130,,3.756,,3.876,,2.584,,3.230,,0.007,,1.080,,1.350,,4.800,,2.583,,2.580,,6.460,,1.292,,1.615,,0.202,,0.335,,1.292,,4.849,,1.076,,1.938,,2.907,,0.645,,2.155,,12.113,,1.482,,5.814,,3.016,,2.180,,0.001580,,0.004262,<,0.000720,,0.010800,,0.048600,,0.021600,<,0.144000,,0.001958,,0.005760,,0.008640,,0.086400,,0.002880,,0.244800,,3.000000,,0.043000,,0.864000,,0.028800,,1.632000,,0.010800,,0.019400,,12.910000,,0.045500,,0.017280,,0.004320
1 - UNIVERSITY & I-630,"SOLIDS, TOTAL DISSOLVED",MG/L,1 / 3 MO.,COMP/GRAB,,172.000,,64.000,,126.000,,61.500,,46.000,,33.500,,42.500,,142.000,,167.000,,23.000,,26.500,,20.500,,14.000,,41.000,,72.500,,61.500,,136.000,,76.000,,55.500,,50.000,,36.000,,24.000,,55.000,,37.500,,109.000,,40.000,,38.000,,16.500,,45.000,,35.000,,24.500,,32.500,,64.000,,124.000,,157.000,,102.000,,71.000,,51.000,,93.000,,38.000,,203.000,,97.000,,88.000,,88.000,,65.000,,132.000,,109.000,,48.000,,58.000,,59.000,,45.000,,716.000,,90.000,,214.000,,126.000,,70.000,,32.000,,87.000,,102.000,,62.000,,165.000,,78.000,,128.000,,124.000,,310.000,,132.000,,260.000,,52.000,,150.000,,22.000,,12.000,,54.000,,46.000,,16.000,,150.000,,44.000,,58.000,,46.000,,69.000,,114.000,,180.000,,112.000,,48.000,,86.000,,52.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - UNIVERSITY & I-630,"STREPTOCOCCI, FECAL MATERIAL",#/100ML,1 / 3 MO.,GRAB,,77,,295,,590,,1037,,380,,3550,,16000,,3960,,6150,,1600,,2800,,14500,,4600,,15600,,26500,,25000,,225000,,2000,,3500,,11000,,25000,,170000,>,5000000,,8400,,22000,,110000,,260000,,30000,,68000,,70000,,200,,24000,,2200,,900,,990,,40,,15000,,1000,,100,,750,,200,,1250,,500,<,100,,1900,,600,,4700,,2200,,2400,,100,,500,,7000,,2000,,10700,,3000,,9900,,3400,,2300,,11000,,7300,,7500,,48,,1130,<,1,,260,,150,,4210,<,5600,,300,,500,,1950,,392,,1,,180,,160,,110,,77,,205,,200,,450,,560,,1350,,1000,,840,,400
