OUTFALL No. / LOCATION,PARAMETER,3/1 TO 5/31/2017,6/1 TO 8/31/2017,9/1 TO 11/30/2017,12/1/2017 TO 2/28/2018
5 - 14TH & BOND,"PHOSPHORUS, DISSOLVED",0.050,0.240,0.190,0.140
5 - 14TH & BOND,HARDNESS (CACO3) TOTAL,12.000,24.000,26.000,20.000
5 - 14TH & BOND,"SILVER, TOTAL RECOVERABLE",0.500,0.500,4.000,0.500
5 - 14TH & BOND,"ZINC, TOTAL RECOVERABLE",62.000,122.700,68.000,73.600
5 - 14TH & BOND,"CADMIUM, TOTAL RECOVERABLE",4.000,1.500,0.600,0.100
5 - 14TH & BOND,"LEAD, TOTAL RECOVERABLE",8.000,0.500,6.000,1.900
5 - 14TH & BOND,"COPPER, TOTAL RECOVERABLE",9.000,15.100,10.000,5.300
5 - 14TH & BOND,FLOW IN CONDUIT / THRU TREAT. PLANT,0.603400,0.099750,0.005068,0.001758
5 - 14TH & BOND,"SOLIDS, TOTAL DISSOLVED",86.000,10.000,58.000,32.000
5 - 14TH & BOND,"STREPTOCOCCI, FECAL MATERIAL",25,1210,130,550
5 - 14TH & BOND,"E.COLI  (CHANGED FROM COLIFORM, FECAL 8/31/2005)",110,350,150,770
